max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-3,-1298,1298,90,-1276.0878604963111,1065.4551724137932,-1902647,154491,9.912489891052246,1636
-20,-1298,1298,32,-1282.6962513781698,1039.6965517241379,-2326811,150756,11.259088039398193,1959
-3,-1298,1298,90,-1289.3748039728175,1055.7218543046358,-2466574,159414,11.062826156616211,2064
-15,-1298,1298,119,-1288.3555032371983,1065.9916666666666,-2188916,127919,8.894049882888794,1819
-3,-1298,1298,61,-1286.2951717272274,1051.0242424242424,-2584167,173419,11.914536952972412,2174
-3,-1298,1298,41,-1284.4041019955655,1006.6917808219179,-2317065,146977,13.941363096237183,1950
-3,-1298,1298,61,-1287.2255813953489,1092.556338028169,-2214028,155143,9.763845920562744,1862
-73,-1298,1298,64,-1292.1034658511724,1050.662162162162,-2535107,155498,10.163136959075928,2110
-21,-1298,1298,44,-1284.930345245306,945.6595744680851,-2121420,133338,16.14715003967285,1792
-5,-1298,1298,61,-1286.1906493506494,1064.6923076923076,-2475917,166092,11.335926055908203,2081
-536,-1298,1298,61,-1290.1721352852094,1042.5466666666666,-2555831,156382,13.001658916473389,2131
-34,-1298,1298,90,-1282.1660273972602,1041.1986754966888,-2339953,157221,12.34403395652771,1976
-90,-1298,1298,61,-1282.2535885167465,1108.4024390243903,-2411919,181778,10.171996116638184,2045
-311,-1298,1298,90,-1287.9807365439094,992.9591836734694,-2273286,145965,13.159125089645386,1912
-25,-1298,1298,61,-1285.7456588355465,1065.9567901234568,-2517490,172685,10.446226835250854,2120
-10,-1298,1298,61,-1284.3324593602517,1025.6184210526317,-2449222,155894,11.658888101577759,2059
-39,-1298,1298,47,-1281.4215851602023,1052.8484848484848,-2279649,173720,10.578046083450317,1944
-9,-1298,1298,12,-1285.551652892562,1067.5167785234898,-2488828,159060,9.19730019569397,2085
-163,-1298,1298,61,-1284.054498714653,1054.2142857142858,-2497486,177108,12.386429071426392,2113
-3,-1298,1298,12,-1281.2244668911335,985.568,-2283142,123196,13.946183919906616,1907
-15,-1298,1298,61,-1290.4245283018868,1039.1461538461538,-2325345,135089,10.664866924285889,1932
-9,-1298,1298,90,-1288.703237410072,988.7328244274809,-2149557,129524,12.435271978378296,1799
-15,-1298,1298,122,-1284.025336091003,1109.0,-2483305,185203,9.6792471408844,2101
-3,-1448,1448,15,-1298.9345327336332,939.4507042253521,-2599168,133402,16.43207097053528,2143
-3,-1298,1298,61,-1287.2494866529773,1093.08125,-2507562,174893,10.33955192565918,2108
-24,-1298,1298,32,-1278.23546856465,1058.1496598639455,-2155105,155548,9.260963916778564,1833
-7,-1298,1298,32,-1287.6294363256784,1057.2875,-2467098,169166,11.229615926742554,2076
-1,-1298,1298,12,-1286.311055276382,1021.609756097561,-2559759,167544,12.585050106048584,2154
-6,-1298,1298,90,-1286.699789695058,1068.469135802469,-2447303,173092,11.274537801742554,2064
-33,-1298,1298,12,-1290.7475273295158,1067.525974025974,-2479526,164399,12.06553316116333,2075
-9,-1298,1298,64,-1285.0079817559863,1040.2296296296297,-2253904,140431,11.973533868789673,1889
-61,-1298,1298,61,-1286.9099744245525,1056.7575757575758,-2515909,174365,10.554720163345337,2120
-163,-1298,1298,61,-1286.619235095613,1016.8,-2287609,137268,12.120922803878784,1913
-13,-1298,1298,61,-1282.2633507853402,1049.9130434782608,-2449123,169036,11.926403999328613,2071
-18,-1298,1298,61,-1286.6771255060728,1086.8089171974523,-2542474,170629,11.224880933761597,2133
-9,-1298,1298,38,-1284.4562118126273,1098.7950310559006,-2522672,176906,10.208466053009033,2125
-12,-1448,1298,32,-1284.1204268292684,1071.0813953488373,-2527149,184226,11.46909785270691,2140
-3,-1298,1298,90,-1284.013422818792,1104.6944444444443,-2487134,159076,10.681739091873169,2081
-23,-1298,1298,61,-1286.6410126582277,1080.8622754491018,-2541116,180504,12.950776100158691,2142
-273,-1298,1298,32,-1291.8525319977741,1017.3724137931034,-2321459,147519,12.577433109283447,1942
-12,-1298,1298,61,-1288.2153767820773,1090.1089743589744,-2530055,170057,9.921457052230835,2120
-7,-1298,1298,15,-1279.9684082624544,1039.5928571428572,-2106828,145543,11.283890008926392,1786
-33,-1298,1298,90,-1289.386846193682,1053.953642384106,-2489806,159147,12.803164005279541,2082
-35,-1298,1298,41,-1288.1823725055433,1068.3846153846155,-2323881,138890,10.29879903793335,1934
-50,-1298,1298,61,-1285.773469387755,1055.2453987730062,-2520116,172005,12.59037709236145,2123
-9,-1298,1298,61,-1283.6510791366907,1074.830303030303,-2497985,177347,10.64982295036316,2111
-22,-1298,1298,41,-1281.8021788990825,1045.8273381294964,-2235463,145370,10.55993914604187,1883
-19,-1298,1298,93,-1288.9653567735263,1093.3030303030303,-2492859,180395,10.966999053955078,2099
-38,-1298,1298,90,-1283.9391575663026,1081.15,-2469015,172984,10.658236026763916,2083
-32,-1298,1298,119,-1286.2739583333334,1102.5933333333332,-2469646,165389,10.202006101608276,2070
-3,-1298,1298,119,-1287.253770150806,1072.2322580645161,-2475389,166196,11.371639013290405,2078
-183,-1298,1298,90,-1289.2988505747126,1009.6826923076923,-2019042,105007,11.582848072052002,1670
-79,-1448,1298,26,-1281.9098265895955,946.172932330827,-2217704,125841,16.293240785598755,1863
-32,-1298,1298,61,-1287.02775024777,1065.283950617284,-2597222,172576,11.7793447971344,2180
-12,-1298,1298,32,-1287.7743148844706,1065.8120805369128,-2396548,158806,10.388941049575806,2010
-7,-1298,1298,61,-1284.3693270735523,1068.551948051948,-2462136,164557,11.365530967712402,2071
-3,-1298,1298,61,-1279.6049156272927,945.1082474226804,-3488203,183351,23.101948976516724,2920
-161,-1298,1298,26,-1290.7545922116092,1047.6258503401361,-3513434,154001,11.459506034851074,2869
-19,-1298,1298,26,-1285.913190529876,1055.5,-3421815,181546,17.945451974868774,2833
-3,-1298,1298,3,-1276.646891651865,982.4120603015075,-3593761,195500,26.635840892791748,3014
-13,-1298,1298,90,-1285.485693323551,1012.6772151898734,-3504234,160003,12.666436910629272,2884
-9,-1298,1298,32,-1280.7529286474974,895.3237704918033,-3607881,218459,47.56559491157532,3061
-44,-1298,1298,32,-1280.6321094312455,979.0406091370559,-3557596,192871,19.736236810684204,2975
-3,-1298,1298,26,-1283.8052407932012,1010.1596244131456,-3625466,215164,17.719305992126465,3037
-36,-1298,1298,61,-1286.8617827499097,1030.825,-3565894,164932,15.175864934921265,2931
-180,-1298,1298,90,-1280.1055812300035,951.0502512562814,-3600937,189259,22.426515817642212,3012
-130,-1298,1298,3,-1287.2591122338506,1012.4971098265896,-3566995,175162,18.94519305229187,2944
-6,-1298,1298,3,-1292.1011029411766,1058.72,-3514515,158808,14.497382879257202,2870
-3,-1448,1298,26,-1281.2612741589119,1014.574074074074,-3579844,219148,17.26072406768799,3010
-21,-1298,1298,90,-1281.5740740740741,1051.5255102040817,-3598660,206099,18.98778200149536,3004
-27,-1298,1298,3,-1280.9406625409538,982.8036809815951,-3518744,160197,19.2583909034729,2910
-9,-1298,1298,61,-1277.9373665480427,1016.2578947368421,-3591004,193089,17.288979053497314,3000
-3,-1298,1298,29,-1285.2197406340058,1008.5882352941177,-3567770,205752,19.06376314163208,2980
-9,-1448,1298,61,-1270.9190915542938,899.8590308370044,-3581450,204268,24.16617512702942,3045
-11,-1298,1298,119,-1279.6127833519138,1018.405,-3443438,203681,17.916879892349243,2891
-3,-1448,1298,90,-1280.6015708675473,1006.6931818181819,-3586965,177178,18.77513313293457,2977
-29,-1298,1298,61,-1287.848693759071,1065.7385620915034,-3549311,163058,11.573521137237549,2909
-3,-1298,1298,95,-1283.4270476190477,1061.732142857143,-3368996,178371,16.825958013534546,2793
-9,-1298,1298,26,-1267.463583016914,923.2685950413223,-3671842,223431,33.289220094680786,3139
-34,-1298,1298,61,-1285.7888848791051,1051.6829268292684,-3562921,172476,13.934093952178955,2935
-24,-1298,1298,90,-1284.7205005959477,1008.7457627118644,-2155761,119032,14.004290103912354,1796
-2,-1298,1298,26,-1280.0997869318182,1000.1897435897436,-3604761,195037,17.037976026535034,3011
-21,-1298,1298,26,-1290.0504903741373,1088.5704697986578,-3551509,162197,12.433576107025146,2902
-9,-1298,1298,32,-1274.7665198237885,978.6470588235294,-2893720,282829,59.64629101753235,2559
-12,-1298,1298,61,-1279.458006718925,996.7853403141361,-3427668,190386,19.788781881332397,2870
-64,-1298,1298,61,-1286.7565838976675,1073.7574257425742,-3420199,216899,24.57871985435486,2860
-3,-1298,1298,61,-1277.8912805545422,1005.4755700325733,-3502700,308681,39.59260582923889,3048
-3,-1298,1298,26,-1282.7984496124031,997.6637554585153,-3475101,228465,20.301978826522827,2938
-32,-1298,1298,26,-1284.6102914717524,1005.3314285714285,-3569932,175933,13.84394097328186,2954
-43,-1298,1298,90,-1285.0981173062999,983.7055214723927,-3549441,160344,14.469367027282715,2925
-20,-1298,1298,90,-1287.0546903295908,1079.7605633802816,-3553558,153326,10.177366971969604,2903
-33,-1298,1298,61,-1287.0495867768595,1011.875,-3426126,153805,15.248515129089355,2814
-61,-1298,1298,90,-1293.6371906841339,1028.0240963855422,-3554915,170652,31.66210699081421,2914
-32,-1298,1298,90,-1284.0816710575837,1055.8285714285714,-3411805,184770,17.152584075927734,2832
-11,-1298,1298,26,-1279.295994065282,999.7083333333334,-3448982,215937,19.69140911102295,2912
-3,-1298,1298,26,-1282.4577358490567,1049.9065934065934,-3398513,191083,17.76477599143982,2832
-53,-1298,1298,61,-1289.9730025538124,1078.4718309859154,-3535816,153143,11.408221006393433,2883
-3,-1448,1298,58,-1278.1930022573363,989.0238095238095,-3397437,207695,19.15144991874695,2868
-3,-1298,1298,90,-1286.6294455066923,1064.3485714285714,-3364536,186261,22.970324993133545,2790
-12,-1298,1298,90,-1287.011796042618,1061.896174863388,-3382267,194327,14.798235177993774,2811
-3,-1298,1298,26,-1287.2482783617252,1078.993288590604,-3551518,160770,11.901912927627563,2908
-3,-1298,1298,35,-1276.9714391691396,1026.2558139534883,-3442715,220645,19.760164976119995,2911
-3,-1298,1298,61,-1288.4359437026344,1061.33125,-3570256,169813,15.557459115982056,2931
-27,-1298,1298,90,-1286.1121028204213,1054.2432432432433,-3602400,156028,10.69145393371582,2949
-3,-1298,1298,90,-1280.5069537909376,1032.5786163522012,-2854250,164180,14.590052127838135,2388
-3,-1298,1298,26,-1288.025,1063.8713450292398,-3348865,181922,17.86094307899475,2771
-24,-1298,1298,24,-1283.449544764795,1028.5911602209944,-3383173,186175,20.829514980316162,2817
-9,-1298,1298,3,-1287.9802459932912,1051.4397163120568,-3455651,148253,14.116973161697388,2824
-3,-1298,1298,61,-1277.9591373439273,985.148717948718,-3377646,192104,19.460258960723877,2838
-18,-1298,1298,61,-1278.0179252479024,994.9005235602094,-3350963,190026,21.33739995956421,2813
-33,-1298,1298,26,-1278.0703095147114,1029.5297297297298,-3344710,190463,17.308269023895264,2802
-3,-1298,1298,3,-1278.3227941176472,933.9473684210526,-3477038,159705,23.785454988479614,2891
-21,-1298,1298,3,-1284.867680608365,1046.6055555555556,-3379202,188389,18.40671396255493,2810
-10,-1298,1298,64,-1285.9972941631233,1008.3967391304348,-3326875,185545,22.220901012420654,2771
-62,-1298,1298,61,-1289.3472171028382,1101.7642857142857,-3497999,154247,9.997497081756592,2853
-6,-1298,1298,26,-1279.0884922142043,1021.3169398907104,-3367840,186901,19.922306060791016,2816
-34,-1448,1298,33,-1287.646479387085,958.3024691358024,-3529439,155245,15.087326049804688,2903
-27,-1298,1298,26,-1288.7790316709138,1076.8843537414966,-3540276,158302,8.470024824142456,2894
-25,-1298,1298,32,-1284.4278054385293,1036.4309392265193,-3353641,187594,17.338136911392212,2792
-21,-1298,1298,3,-1280.2500966370312,1007.7945945945946,-3312007,186442,20.317983150482178,2772
-61,-1298,1298,3,-1282.7638036809815,1030.4894736842105,-3345448,195793,32.13635611534119,2798
-32,-1298,1298,26,-1287.220469411312,1038.870786516854,-3345486,184919,17.949092149734497,2777
-3,-1298,1298,32,-1286.6249514185774,1015.9329608938548,-3310486,181852,18.73438000679016,2752
-4,-1298,1298,61,-1287.4440014498007,1068.685534591195,-3552058,169921,13.95040512084961,2918
-2,-1298,1298,35,-1283.3324365872406,1022.1485714285715,-3339231,178876,20.519882917404175,2777
-32,-1298,1298,61,-1288.6612276612277,1069.5697674418604,-3317014,183966,16.544212102890015,2746
-137,-1298,1298,61,-1292.2673699527102,1021.6987951807229,-3552443,169602,17.30668807029724,2915
-32,-1298,1298,3,-1283.520303605313,932.6018518518518,-3382076,201442,32.870134115219116,2851
-5,-1298,1298,90,-1292.8567784256559,1022.566265060241,-3547599,169746,15.444438934326172,2910
-13,-1298,1298,119,-1286.044673539519,1048.167597765363,-3368151,187622,17.79517912864685,2798
-70,-1448,1298,3,-1284.870760442699,980.8487804878049,-3598923,201074,19.66723608970642,3006
-13,-1298,1298,61,-1289.9011029411765,1073.1438356164383,-3508531,156679,11.58242416381836,2866
-9,-1298,1298,61,-1285.0037078235075,1031.888888888889,-3465655,185740,13.043015003204346,2877
-35,-1298,1298,90,-1282.6605263157894,1041.6020942408377,-3411877,198946,16.538812160491943,2851
-4,-1298,1298,61,-1290.6836810730254,1098.7810218978102,-3464195,150533,11.877142906188965,2821
