max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size
-6,-1460,1460,3,-1041.5546558704452,359.53263157894736
-19,-1460,1460,24,-1172.8004201680671,455.60663507109007
-19,-1460,1460,24,-1139.5313725490196,397.73636363636365
-19,-1460,1460,24,-1152.5504885993485,388.01413427561835
-6,-1460,1460,24,-1046.482638888889,335.21627906976744
-6,-1460,1460,17,-983.2262334536703,376.2547619047619
-6,-1460,1460,24,-1073.0405616224648,361.93145161290323
-1,-1460,1460,6,-984.4993894993895,374.49408983451536
-6,-1460,1460,24,-1033.995652173913,356.99789915966386
-6,-1460,1460,24,-1045.0695047784536,354.7649186256781
-19,-1460,1460,13,-1338.913626609442,384.380073800738
-6,-1460,1460,24,-976.511574074074,338.19018404907973
-1,-1460,1460,24,-961.1094091903719,299.980306345733
-19,-1460,1460,24,-1164.3423423423424,307.86324786324786
-6,-1460,1460,24,-1084.001572327044,369.3687707641196
-6,-1460,1460,24,-971.0771929824562,367.2141230068337
-6,-1460,1460,24,-1076.7745358090185,353.720703125
-6,-1460,1460,24,-973.6819221967963,351.3556034482759
-6,-1460,1460,24,-1159.669344042838,416.21035598705504
-6,-1460,1460,24,-1264.3038348082596,328.8793774319066
-6,-1460,1460,24,-1040.5089408528197,345.6906906906907
-3,-1460,1460,24,-1335.03007518797,450.8673469387755
-6,-1460,1460,24,-1245.8828361435365,365.9961315280464
-6,-1460,1460,24,-1235.871794871795,341.18918918918916
-11,-1460,1460,24,-1229.3607142857143,366.19417475728153
-19,-1460,1460,24,-1121.3803278688524,521.3453608247422
-6,-1460,1460,24,-1265.6445022288262,320.31027253668765
-3,-1460,1460,24,-1030.03861003861,350.64954682779455
-6,-1460,1460,13,-968.479375696767,352.60251046025104
-6,-1460,1460,14,-998.4465212876428,359.1278350515464
-6,-1460,1460,2,-1258.814683768244,352.3408071748879
-19,-1460,1460,7,-1196.568356374808,397.0811808118081
-14,-1460,1460,24,-1142.1522556390978,729.1519337016574
-6,-1460,1460,24,-1193.7925243770314,355.0252918287938
-19,-1460,1460,10,-1348.3059743160245,498.9956140350877
-19,-1460,1460,24,-1103.955149501661,385.9010989010989
-14,-1460,1460,24,-1327.659363588941,409.28521126760563
-21,-1460,1460,24,-1123.5890183028287,432.6282894736842
-6,-1460,1460,24,-1005.7509339975094,353.2545045045045
-1,-1460,1460,24,-1281.7853560682047,419.36341463414635
-6,-1460,1460,24,-1033.7864197530864,328.0904109589041
-6,-1460,1448,24,-1064.3654743390357,323.69964664310953
-10,-1460,1460,24,-1138.2061855670104,462.4736842105263
-4,-1460,1460,24,-1284.687766281193,337.59615384615387
-6,-1460,1460,24,-1059.2067039106146,370.5967302452316
-6,-1460,1460,24,-1028.1993637327678,340.1020408163265
-6,-1460,1460,24,-1123.3040152963672,365.7704918032787
-19,-1460,1460,24,-1199.5745526838966,539.4263157894737
-6,-1460,1460,24,-978.2794959908362,367.2659090909091
-6,-1460,1460,24,-1033.6176470588234,345.32748538011697
-6,-1460,1460,24,-1003.7844827586207,345.81
-19,-1460,1460,24,-1147.9321266968325,444.69325153374234
-6,-1460,1460,24,-993.8606060606061,341.90833333333336
-6,-1460,1460,24,-1071.3233532934132,420.4012738853503
-24,-1460,783,24,-758.5913978494624,144.6024096385542
-6,-1460,1460,2,-1247.0651121865376,340.27360308285165
-1,-1460,1460,24,-1293.5565702688991,403.9931271477663
-1,-1460,1460,12,-980.3949771689498,375.57077625570776
-19,-1460,1460,24,-1160.2510548523207,446.02369668246445
-6,-1460,1460,24,-957.047619047619,352.93273542600895
-6,-1460,1460,24,-988.2665876777252,356.2256532066508
-6,-1460,1460,24,-1048.005540166205,339.065625
-6,-1460,1460,24,-1025.615306122449,350.78793774319064
-6,-1460,1460,2,-1296.6625,396.67123287671234
-6,-1460,1460,24,-1142.8122001370803,342.753937007874
-19,-1460,1460,24,-1302.3885400313973,377.79615384615386
-6,-1460,1460,24,-1244.311746987952,381.780487804878
-14,-1460,1460,24,-1304.3158326497128,317.40851063829786
-6,-1460,1460,11,-1234.433601609658,347.31274900398404
-6,-1460,1460,24,-1248.1401785714286,339.2661737523105
-6,-1460,1460,24,-1076.5890227576974,380.5342465753425
-6,-1460,1460,23,-987.8341121495328,365.60532150776055
