max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4632580.0,30639560.0,494.44937229156494,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5114380.0,30157760.0,492.90162086486816,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-6165580.0,29106560.0,464.45241594314575,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5013640.0,30258500.0,485.77009105682373,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1689220.0,33582920.0,547.3976621627808,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5416600.0,29855540.0,473.8458845615387,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4969840.0,30302300.0,488.6645975112915,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4853040.0,30419100.0,497.0502142906189,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1738860.0,33533280.0,541.1171119213104,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-3939080.0,31333060.0,504.75432896614075,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4997580.0,30274560.0,486.5399765968323,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5406380.0,29865760.0,478.3331365585327,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5311480.0,29960660.0,487.09953355789185,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5006340.0,30265800.0,485.6989235877991,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5029700.0,30242440.0,487.83677983283997,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5415140.0,29857000.0,484.4661545753479,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5001960.0,30270180.0,483.68448424339294,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5445800.0,29826340.0,474.17435693740845,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5343600.0,29928540.0,480.5504319667816,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5439960.0,29832180.0,486.69140791893005,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4883700.0,30388440.0,490.68011116981506,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4961080.0,30311060.0,483.6470012664795,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4934800.0,30337340.0,488.4027819633484,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5488140.0,29784000.0,479.71186113357544,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5164020.0,30108120.0,491.67851424217224,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1754920.0,33517220.0,542.6845805644989,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4902680.0,30369460.0,491.1557092666626,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5074960.0,30197180.0,486.74475598335266,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4225240.0,31046900.0,493.55735540390015,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5254540.0,30017600.0,484.4668869972229,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-6191860.0,29080280.0,459.80116152763367,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4882240.0,30389900.0,487.41581106185913,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4778580.0,30493560.0,492.7787790298462,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4714340.0,30557800.0,495.8958275318146,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5596180.0,29675960.0,476.6453788280487,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5463320.0,29808820.0,472.4896740913391,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4292400.0,30979740.0,488.42385244369507,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4343500.0,30928640.0,499.0180666446686,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1668780.0,33603360.0,552.2548267841339,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4566880.0,30705260.0,494.9683392047882,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-1727180.0,33544960.0,536.0839378833771,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5117300.0,30154840.0,484.58111572265625,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5067660.0,30204480.0,484.7898814678192,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-6279460.0,28992680.0,460.6847331523895,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4159540.0,31112600.0,501.46252942085266,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-5838540.0,29433600.0,474.03193402290344,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-4712880.0,30559260.0,504.8902950286865,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2607560.0,32664580.0,519.8967316150665,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2874740.0,32397400.0,521.6028392314911,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2381260.0,32890880.0,526.4109675884247,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2763780.0,32508360.0,521.217342376709,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2432360.0,32839780.0,526.3220791816711,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2763780.0,32508360.0,518.4713172912598,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2902480.0,32369660.0,518.3100564479828,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2814880.0,32457260.0,528.3609211444855,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2585660.0,32686480.0,527.2114067077637,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2890800.0,32381340.0,517.3026149272919,24159.0
-1460.0,-1460.0,1460.0,1460.0,-1460.0,1460.0,-2947740.0,32324400.0,523.5969903469086,24159.0
