max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size
-183,-1298,1298,38,-1289.1794717887155,996.5407407407407
-5,-1298,1298,15,-1282.9762282091917,1066.9276315789473
-35,-1298,1298,90,-1279.1182092555332,1086.9939759036145
-3,-1298,1298,32,-1275.1561203319502,1043.5549132947976
-1,-1298,1298,119,-1279.4093732354602,1054.7666666666667
-18,-1298,1298,61,-1286.371212121212,1080.7151898734178
-9,-1298,1298,61,-1279.525507677068,986.9948717948718
-53,-1298,1298,90,-1280.5705705705707,1062.9550561797753
-3,-1298,1298,32,-1283.0124013528748,1055.4473684210527
-56,-1298,1298,61,-1285.2388888888888,1101.96644295302
-50,-1298,1298,35,-1283.5769612711024,1102.7668711656443
-3,-1298,1298,76,-1282.3239294710327,1084.5243902439024
-141,-1298,1298,61,-1291.6156583629893,1067.0980392156862
-41,-1298,1298,90,-1286.7980151780503,1079.295081967213
-3,-1298,1298,61,-1283.9483682415976,1085.978021978022
-3,-1298,1298,90,-1286.85153090699,1025.0567375886526
-3,-1298,1298,61,-1283.6035767511178,1068.264705882353
-3,-1298,1298,12,-1283.347001537673,1081.1847133757963
-3,-1298,1298,119,-1284.5279761904762,1059.6776859504132
-3,-1298,1298,61,-1290.4307213284899,1021.7597402597403
-32,-1298,1298,61,-1289.5095190380762,1097.2784810126582
-1,-1298,1298,61,-1282.6948640483383,1055.2450331125829
-24,-1298,1298,61,-1284.942857142857,1074.30625
-41,-1298,1298,26,-1286.5377252252251,1085.625
-203,-1298,1298,90,-1289.1159838430467,1112.4748603351954
-104,-1298,1298,119,-1290.5588998443177,1102.1712328767123
-3,-1298,1298,209,-1285.4778530484627,1082.4313725490197
-10,-1298,1298,32,-1267.3220640569396,958.1168831168832
-10,-1298,1298,12,-1286.8657303370787,969.6204379562043
-27,-1298,1298,61,-1287.8757091284167,1110.8375
-3,-1298,1298,90,-1288.2244785949506,1092.8680555555557
-9,-1298,1298,119,-1290.0025680534154,1094.8707482993198
-3,-1298,1298,61,-1289.9664009111618,1042.6
-30,-1298,1298,15,-1290.1576086956522,1055.6985294117646
-90,-1298,1298,64,-1292.8148371531965,1100.4031007751937
-9,-1298,1298,61,-1288.498135322323,1115.4697986577182
-12,-1298,1298,41,-1284.9193631227529,1004.8682634730538
-13,-1298,1298,32,-1280.3960345704118,972.9209039548023
-32,-1298,1298,119,-1288.4017699115045,1001.1550387596899
-300,-1298,1298,90,-1285.6136079900125,1029.9911504424779
-3,-1298,1298,90,-1276.0878604963111,1065.4551724137932
-20,-1298,1298,32,-1282.6962513781698,1039.6965517241379
-3,-1298,1298,90,-1289.3748039728175,1055.7218543046358
-15,-1298,1298,119,-1288.3555032371983,1065.9916666666666
-3,-1298,1298,61,-1286.2951717272274,1051.0242424242424
-3,-1298,1298,41,-1284.4041019955655,1006.6917808219179
-3,-1298,1298,61,-1287.2255813953489,1092.556338028169
-73,-1298,1298,64,-1292.1034658511724,1050.662162162162
-21,-1298,1298,44,-1284.930345245306,945.6595744680851
-5,-1298,1298,61,-1286.1906493506494,1064.6923076923076
-536,-1298,1298,61,-1290.1721352852094,1042.5466666666666
-34,-1298,1298,90,-1282.1660273972602,1041.1986754966888
-90,-1298,1298,61,-1282.2535885167465,1108.4024390243903
-311,-1298,1298,90,-1287.9807365439094,992.9591836734694
-25,-1298,1298,61,-1285.7456588355465,1065.9567901234568
-10,-1298,1298,61,-1284.3324593602517,1025.6184210526317
-39,-1298,1298,47,-1281.4215851602023,1052.8484848484848
-9,-1298,1298,12,-1285.551652892562,1067.5167785234898
-163,-1298,1298,61,-1284.054498714653,1054.2142857142858
-3,-1298,1298,12,-1281.2244668911335,985.568
-15,-1298,1298,61,-1290.4245283018868,1039.1461538461538
-9,-1298,1298,90,-1288.703237410072,988.7328244274809
-15,-1298,1298,122,-1284.025336091003,1109.0
-3,-1448,1448,15,-1298.9345327336332,939.4507042253521
-3,-1298,1298,61,-1287.2494866529773,1093.08125
-24,-1298,1298,32,-1278.23546856465,1058.1496598639455
-7,-1298,1298,32,-1287.6294363256784,1057.2875
-1,-1298,1298,12,-1286.311055276382,1021.609756097561
-6,-1298,1298,90,-1286.699789695058,1068.469135802469
-33,-1298,1298,12,-1290.7475273295158,1067.525974025974
-9,-1298,1298,64,-1285.0079817559863,1040.2296296296297
-61,-1298,1298,61,-1286.9099744245525,1056.7575757575758
-163,-1298,1298,61,-1286.619235095613,1016.8
-13,-1298,1298,61,-1282.2633507853402,1049.9130434782608
-18,-1298,1298,61,-1286.6771255060728,1086.8089171974523
-9,-1298,1298,38,-1284.4562118126273,1098.7950310559006
-12,-1448,1298,32,-1284.1204268292684,1071.0813953488373
-3,-1298,1298,90,-1284.013422818792,1104.6944444444443
-23,-1298,1298,61,-1286.6410126582277,1080.8622754491018
-273,-1298,1298,32,-1291.8525319977741,1017.3724137931034
-12,-1298,1298,61,-1288.2153767820773,1090.1089743589744
-7,-1298,1298,15,-1279.9684082624544,1039.5928571428572
-33,-1298,1298,90,-1289.386846193682,1053.953642384106
-35,-1298,1298,41,-1288.1823725055433,1068.3846153846155
-50,-1298,1298,61,-1285.773469387755,1055.2453987730062
-9,-1298,1298,61,-1283.6510791366907,1074.830303030303
-22,-1298,1298,41,-1281.8021788990825,1045.8273381294964
-19,-1298,1298,93,-1288.9653567735263,1093.3030303030303
-38,-1298,1298,90,-1283.9391575663026,1081.15
-32,-1298,1298,119,-1286.2739583333334,1102.5933333333332
-3,-1298,1298,119,-1287.253770150806,1072.2322580645161
-183,-1298,1298,90,-1289.2988505747126,1009.6826923076923
-79,-1448,1298,26,-1281.9098265895955,946.172932330827
-32,-1298,1298,61,-1287.02775024777,1065.283950617284
-12,-1298,1298,32,-1287.7743148844706,1065.8120805369128
-7,-1298,1298,61,-1284.3693270735523,1068.551948051948
-3,-1298,1298,61,-1279.6049156272927,945.1082474226804
-161,-1298,1298,26,-1290.7545922116092,1047.6258503401361
-19,-1298,1298,26,-1285.913190529876,1055.5
-3,-1298,1298,3,-1276.646891651865,982.4120603015075
-13,-1298,1298,90,-1285.485693323551,1012.6772151898734
-9,-1298,1298,32,-1280.7529286474974,895.3237704918033
-44,-1298,1298,32,-1280.6321094312455,979.0406091370559
-3,-1298,1298,26,-1283.8052407932012,1010.1596244131456
-36,-1298,1298,61,-1286.8617827499097,1030.825
-180,-1298,1298,90,-1280.1055812300035,951.0502512562814
-130,-1298,1298,3,-1287.2591122338506,1012.4971098265896
-6,-1298,1298,3,-1292.1011029411766,1058.72
-3,-1448,1298,26,-1281.2612741589119,1014.574074074074
-21,-1298,1298,90,-1281.5740740740741,1051.5255102040817
-27,-1298,1298,3,-1280.9406625409538,982.8036809815951
-9,-1298,1298,61,-1277.9373665480427,1016.2578947368421
-3,-1298,1298,29,-1285.2197406340058,1008.5882352941177
-9,-1448,1298,61,-1270.9190915542938,899.8590308370044
-11,-1298,1298,119,-1279.6127833519138,1018.405
-3,-1448,1298,90,-1280.6015708675473,1006.6931818181819
-29,-1298,1298,61,-1287.848693759071,1065.7385620915034
-3,-1298,1298,95,-1283.4270476190477,1061.732142857143
-9,-1298,1298,26,-1267.463583016914,923.2685950413223
-34,-1298,1298,61,-1285.7888848791051,1051.6829268292684
-24,-1298,1298,90,-1284.7205005959477,1008.7457627118644
-2,-1298,1298,26,-1280.0997869318182,1000.1897435897436
-21,-1298,1298,26,-1290.0504903741373,1088.5704697986578
-9,-1298,1298,32,-1274.7665198237885,978.6470588235294
-12,-1298,1298,61,-1279.458006718925,996.7853403141361
-64,-1298,1298,61,-1286.7565838976675,1073.7574257425742
-3,-1298,1298,61,-1277.8912805545422,1005.4755700325733
-3,-1298,1298,26,-1282.7984496124031,997.6637554585153
-32,-1298,1298,26,-1284.6102914717524,1005.3314285714285
-43,-1298,1298,90,-1285.0981173062999,983.7055214723927
-20,-1298,1298,90,-1287.0546903295908,1079.7605633802816
-33,-1298,1298,61,-1287.0495867768595,1011.875
-61,-1298,1298,90,-1293.6371906841339,1028.0240963855422
-32,-1298,1298,90,-1284.0816710575837,1055.8285714285714
-11,-1298,1298,26,-1279.295994065282,999.7083333333334
-3,-1298,1298,26,-1282.4577358490567,1049.9065934065934
-53,-1298,1298,61,-1289.9730025538124,1078.4718309859154
-3,-1448,1298,58,-1278.1930022573363,989.0238095238095
-3,-1298,1298,90,-1286.6294455066923,1064.3485714285714
-12,-1298,1298,90,-1287.011796042618,1061.896174863388
-3,-1298,1298,26,-1287.2482783617252,1078.993288590604
-3,-1298,1298,35,-1276.9714391691396,1026.2558139534883
-3,-1298,1298,61,-1288.4359437026344,1061.33125
-27,-1298,1298,90,-1286.1121028204213,1054.2432432432433
-3,-1298,1298,90,-1280.5069537909376,1032.5786163522012
-3,-1298,1298,26,-1288.025,1063.8713450292398
-24,-1298,1298,24,-1283.449544764795,1028.5911602209944
-9,-1298,1298,3,-1287.9802459932912,1051.4397163120568
-3,-1298,1298,61,-1277.9591373439273,985.148717948718
-18,-1298,1298,61,-1278.0179252479024,994.9005235602094
-33,-1298,1298,26,-1278.0703095147114,1029.5297297297298
-3,-1298,1298,3,-1278.3227941176472,933.9473684210526
-21,-1298,1298,3,-1284.867680608365,1046.6055555555556
-10,-1298,1298,64,-1285.9972941631233,1008.3967391304348
-62,-1298,1298,61,-1289.3472171028382,1101.7642857142857
-6,-1298,1298,26,-1279.0884922142043,1021.3169398907104
-34,-1448,1298,33,-1287.646479387085,958.3024691358024
-27,-1298,1298,26,-1288.7790316709138,1076.8843537414966
-25,-1298,1298,32,-1284.4278054385293,1036.4309392265193
-21,-1298,1298,3,-1280.2500966370312,1007.7945945945946
-61,-1298,1298,3,-1282.7638036809815,1030.4894736842105
-32,-1298,1298,26,-1287.220469411312,1038.870786516854
-3,-1298,1298,32,-1286.6249514185774,1015.9329608938548
-4,-1298,1298,61,-1287.4440014498007,1068.685534591195
-2,-1298,1298,35,-1283.3324365872406,1022.1485714285715
-32,-1298,1298,61,-1288.6612276612277,1069.5697674418604
-137,-1298,1298,61,-1292.2673699527102,1021.6987951807229
-32,-1298,1298,3,-1283.520303605313,932.6018518518518
-5,-1298,1298,90,-1292.8567784256559,1022.566265060241
-13,-1298,1298,119,-1286.044673539519,1048.167597765363
-70,-1448,1298,3,-1284.870760442699,980.8487804878049
-13,-1298,1298,61,-1289.9011029411765,1073.1438356164383
-9,-1298,1298,61,-1285.0037078235075,1031.888888888889
-35,-1298,1298,90,-1282.6605263157894,1041.6020942408377
-4,-1298,1298,61,-1290.6836810730254,1098.7810218978102
-10,-1298,1298,26,-1289.4578794480756,1095.155844155844
-90,-1448,1448,3,-1286.0160714285714,1062.7918367346938
-9,-1298,1298,32,-1289.6762856085832,1043.8716216216217
-19,-1298,1298,61,-1290.7253392005866,1074.8623188405797
-5,-1298,1298,90,-1286.880664652568,1038.1586206896552
-32,-1298,1298,90,-1281.1514930808448,1083.9530201342282
-32,-1298,1298,3,-1289.8293045741912,959.296052631579
-35,-1298,1298,61,-1289.04675994109,1019.0466666666666
-3,-1298,1298,61,-1287.1854014598541,900.3661202185792
-6,-1298,1298,61,-1287.5071350164653,1015.5751633986928
-43,-1298,1298,26,-1291.407063197026,1131.9338235294117
-3,-1298,1298,3,-1279.0115030674847,1060.6685714285713
-3,-1298,1298,90,-1287.0847717683162,989.2108108108108
-15,-1298,1298,32,-1292.303792851933,1065.576388888889
-3,-1298,1298,119,-1280.361328125,1032.2857142857142
-3,-1298,1298,26,-1275.841447368421,1010.0578512396694
-3,-1298,1298,3,-1289.7212750185322,1079.86013986014
-137,-1298,1298,90,-1290.9317091177556,1094.5
-3,-1298,1298,35,-1291.5665646518746,1093.8323353293413
-3,-1298,1298,3,-1290.027057079318,1067.0704225352113
-68,-1298,1298,26,-1290.0931925737168,1061.7628205128206
-9,-1298,1298,26,-1287.4345505617978,1148.9840294840294
-2,-1298,1298,26,-1283.3861763494026,1075.0094086021506
-3,-1298,1298,15,-1284.9943983867354,1111.4747899159663
-2,-1448,1298,6,-1284.7072062084258,1099.5328083989502
-13,-1298,1298,26,-1287.5228168089297,1127.6564792176039
-3,-1298,1298,3,-1280.9129210318802,1113.1039671682627
-8,-1298,1298,3,-1288.1766809104386,1144.0944099378883
-2,-1298,1298,38,-1281.793167895338,1093.861788617886
-9,-1298,1298,61,-1283.3418933115443,1090.4372355430182
-6,-1298,1298,26,-1288.6474034834257,1154.2460606060606
-16,-1298,1298,26,-1287.2758313274494,1105.2811387900356
-3,-1298,1298,26,-1284.3241809672386,1099.1805555555557
-9,-1298,1298,26,-1286.4542312526185,1117.0310192023633
-1,-1298,1298,6,-1275.5319537431528,1020.6954248366013
-2,-1298,1298,26,-1284.0692686357243,1107.5208333333333
-9,-1298,1298,3,-1264.357501723968,1015.2540073982738
-18,-1448,1298,26,-1286.6052750225429,1123.5124309392265
-2,-1298,1298,29,-1273.1759031198687,995.8016431924883
-7,-1298,1298,64,-1289.9632043914573,1166.1815889029003
-1,-1298,1298,61,-1290.2531001984128,1185.9068627450981
-6,-1298,1298,29,-1287.705648720212,1133.3254113345522
-22,-1298,1298,26,-1286.7814066752615,1145.138489208633
-3,-1298,1298,6,-1286.9114766568414,1140.1805745554036
-6,-1298,1298,6,-1287.7732132808103,1136.0050420168068
-3,-1298,1298,26,-1280.0830096389009,1074.8462837837837
-2,-1298,1298,26,-1280.4592024975166,1082.679054054054
-3,-1298,1298,3,-1282.758059994393,1091.9504273504274
-3,-1298,1298,3,-1285.0323431698262,1144.463144963145
-2,-1298,1298,32,-1262.1845273047563,966.4571428571429
-1,-1298,1298,32,-1272.033950617284,1008.8262910798122
-3,-1298,1298,26,-1283.1890625,1096.597859327217
-9,-1298,1298,3,-1288.3916818372777,1169.456628477905
-3,-1298,1298,61,-1280.2009449694274,1091.7809798270894
-3,-1298,1298,58,-1288.0781272235663,1174.9488926746167
-3,-1448,1298,61,-1284.8486870120653,1102.4689075630251
-3,-1298,1298,26,-1288.5479029316875,1120.9866888519134
-12,-1298,1298,26,-1284.3823529411766,1115.7593220338983
-3,-1298,1298,58,-1275.1726664542848,1017.5977859778598
-12,-1448,1448,32,-1278.9621759456013,1064.6224
-6,-1298,1298,26,-1279.8950950481108,1094.0403225806451
-6,-1298,1298,26,-1284.8714689265537,1129.6834030683403
-2,-1298,1298,29,-1282.7097610368571,1054.957244655582
-3,-1298,1298,90,-1268.5730506314449,925.7730158730159
-3,-1298,1298,26,-1280.4457305239812,1042.0651499482938
-20,-1298,1298,3,-1289.7513318439594,1133.549511854951
-6,-1298,1298,6,-1289.6528699251323,1131.9236479321314
-3,-1298,1298,26,-1292.7281528131994,1179.9942196531792
-9,-1298,1298,26,-1291.7487927832317,1167.1546286876908
-4,-1298,1298,26,-1292.3201570680628,1185.40903686088
-11,-1298,1298,26,-1293.8961709958241,1165.0967379077615
-2,-1298,1298,3,-1289.8494185664542,1164.595363540569
-3,-1448,1298,26,-1291.05646827857,1167.2799279927992
-2,-1298,1298,26,-1293.5247990473356,1178.9329004329004
-5,-1298,1298,26,-1290.3476427750095,1144.0
-1,-1298,1298,26,-1293.9281366349508,1202.7206385404788
-3,-1298,1298,26,-1293.1234282781627,1172.6327751196172
-1,-1298,1298,23,-1292.4116407153056,1159.4336917562723
-4,-1298,1298,32,-1281.232,1018.603567888999
-3,-1298,1298,26,-1290.1050296867536,1159.2622950819673
-13,-1298,1298,26,-1290.439537944144,1142.205497382199
-6,-1298,1298,26,-1291.291942848726,1153.8624338624338
-5,-1298,1298,26,-1292.4640417838489,1190.3681214421251
-1,-1298,1298,26,-1292.80088691796,1172.3267898383372
-26,-1298,1298,26,-1290.9763901832866,1142.929085303186
-4,-1298,1298,12,-1292.859568325543,1196.889502762431
-16,-1298,1298,26,-1292.4896815286625,1176.8820023837902
-10,-1298,1298,26,-1293.53899958855,1180.179839633448
-4,-1448,1448,26,-1289.3378223276457,1147.2549019607843
-2,-1298,1298,26,-1282.7324666721868,1053.6132190942471
-19,-1298,1298,26,-1292.3754215061822,1168.6948798328108
-3,-1448,1298,26,-1293.8010761823846,1191.4203056768558
-7,-1298,1298,58,-1290.0111968843453,1157.0070505287897
-2,-1298,1298,26,-1284.625390958203,1080.2544861337683
-9,-1298,1298,35,-1290.4568262596697,1133.8788221970556
-4,-1298,1298,29,-1289.5875613747953,1144.850353892821
-1,-1298,1298,26,-1289.99620541361,1155.1674641148325
-2,-1298,1298,26,-1290.1806975956654,1125.3039548022598
-14,-1448,1298,4,-1292.3416939752963,1189.891770011274
-1,-1298,1298,26,-1293.132180866702,1194.0972067039106
-1,-1298,1298,26,-1293.1196740791038,1190.3410341034103
-2,-1298,1298,26,-1286.4200748375238,1097.553861788618
-2,-1298,1298,26,-1290.1192803801764,1136.9519343493553
-2,-1298,1298,26,-1293.24459710174,1190.7286585365853
-4,-1298,1298,3,-1290.0838355075823,1123.3372340425533
-6,-1448,1298,26,-1293.5422968603316,1194.77950310559
-7,-1298,1298,26,-1292.782184812886,1165.2157279489904
-25,-1298,1298,12,-1290.0720177180388,1139.41238317757
-4,-1298,1298,26,-1292.293429051869,1180.42
-6,-1298,1298,26,-1293.05980330851,1194.531914893617
-8,-1298,1298,26,-1292.7224445018069,1191.2873969375737
-6,-1298,1298,26,-1293.756691621372,1187.8207920792079
-2,-1298,1298,26,-1292.8795947901592,1170.6516264428121
-3,-1298,1298,26,-1290.089623917749,1133.4214876033059
-4,-1298,1298,29,-1293.0998999666556,1171.1908212560386
-11,-1298,1298,3,-1294.9742578548212,1209.4986149584488
-14,-1298,1298,26,-1293.2336834028677,1202.7817853922452
-10,-1298,1298,61,-1293.205892995606,1197.3299389002036
-16,-1298,1298,23,-1294.4839914075287,1203.5860271115746
-8,-1298,1298,23,-1293.9965097950912,1204.9145673603505
-22,-1298,1298,26,-1294.2671069727155,1195.7639751552795
-3,-1298,1298,90,-1281.2637633525062,936.3125
-32,-1298,1298,90,-1283.7349102773246,877.1290322580645
-9,-1298,1298,32,-1233.55079006772,794.3093525179856
-16,-1298,1298,90,-1275.091990483743,938.0681818181819
-3,-1298,1298,61,-1283.3256955810148,1005.1641791044776
-3,-1298,1298,273,-1252.2508960573477,797.5892857142857
-175,-1298,1298,61,-1283.8892508143322,936.1647058823529
-3,-1298,1298,90,-1269.8712306438467,848.1098901098901
-3,-1298,1298,61,-1251.437784522003,820.3544303797469
-3,-1298,1298,61,-1287.9294503691551,989.9253731343283
-3,-1298,1298,32,-1285.0682565789473,1002.0
-158,-1298,1298,61,-1284.1644736842106,956.2962962962963
-32,-1298,1298,61,-1276.75,948.9784946236559
-35,-1298,1298,90,-1271.7612403100775,925.2477064220184
-85,-1298,1298,119,-1286.623430962343,915.0921052631579
-339,-1298,1298,61,-1286.864448051948,945.2159090909091
-3,-1298,1298,90,-1285.5720130932898,979.1805555555555
-32,-1298,1298,61,-1277.7342487883684,954.3522727272727
-3,-1298,1298,119,-1274.5008012820513,925.7977528089888
-3,-1298,1298,61,-1277.1673403395312,994.3243243243244
-3,-1298,1298,90,-1278.2424242424242,943.1547619047619
-4,-1298,1298,3,-1255.0974440894568,862.6693548387096
-3,-1298,1298,3,-1265.4234577303885,907.0416666666666
-3,-1298,1298,119,-1275.8620974401322,933.6024096385543
-3,-1298,1298,90,-1279.133979015335,938.4269662921348
-3,-1448,1298,90,-1271.6310289389069,894.453488372093
-32,-1298,1298,61,-1263.1413373860182,910.479674796748
-3,-1298,1298,119,-1287.0831987075928,1016.8831168831168
-3,-1298,1298,90,-1283.414262820513,951.4505494505495
-56,-1298,1298,61,-1275.495652173913,870.6444444444444
-32,-1298,1298,61,-1281.9870654810024,1024.5974025974026
-3,-1298,1298,90,-1276.2772357723577,923.3908045977012
-1,-1298,1298,90,-1272.5234741784038,937.2967032967033
-3,-1298,1298,90,-1260.3182827535159,912.189024390244
-3,-1298,1298,61,-1269.7187141216991,909.1975308641976
-3,-1298,1298,90,-1267.6334519572954,867.375
-3,-1298,1298,90,-1287.151566469094,975.1973684210526
-3,-1298,1298,90,-1273.115625,910.0654205607476
-3,-1298,1298,119,-1288.751818916734,1039.7012987012988
-67,-1298,1298,90,-1280.9313962873284,823.5454545454545
-3,-1298,1298,90,-1283.0040584415585,893.702380952381
-209,-1298,1298,61,-1268.9793577981652,864.8482758620689
-3,-1298,1298,3,-1276.0996860282576,956.566037735849
-3,-1298,1298,61,-1286.9837793998379,947.4125
-3,-1298,1298,61,-1271.516304347826,912.2376237623762
-180,-1298,1298,90,-1278.9952267303102,976.1978021978022
-3,-1298,1298,61,-1280.3392425463337,836.8131868131868
-3,-1298,1298,61,-1270.0974279033514,932.2616822429907
-64,-1298,1298,61,-1277.5164576802508,883.8796296296297
-3,-1298,1298,61,-1267.1510172143976,880.5978260869565
-3,-1298,1298,61,-1282.0287769784172,892.1894736842105
-185,-1298,1298,32,-1288.0397404703974,903.702380952381
-3,-1298,1298,3,-1276.5967213114754,936.641975308642
-35,-1298,1298,3,-1280.9573070607553,926.8777777777777
-3,-1298,1298,61,-1272.5514170040485,930.7011494252873
-3,-1298,1298,273,-1279.851851851852,1007.1369863013699
-3,-1298,1298,119,-1274.3705463182898,882.7745098039215
-3,-1298,1298,61,-1280.4943917169974,1034.3181818181818
-3,-1298,1298,119,-1287.4647887323943,1029.4142857142858
-759,-1298,1298,61,-1290.0361041141898,903.5633802816901
-3,-1448,1298,61,-1274.4347826086957,870.4069767441861
