precision,recall,f1-score,support,std time
0.8571428571428571,0.96,0.9056603773584904,25.0,4.889737478136577
0.9615384615384616,1.0,0.9803921568627451,25.0,2.779366879366438
0.9166666666666666,0.88,0.8979591836734694,25.0,8.864858807949991
0.7307692307692307,0.76,0.7450980392156863,25.0,14.911798327896522
0.8181818181818182,0.72,0.7659574468085107,25.0,9.409967699872597
0.7272727272727273,0.64,0.6808510638297872,25.0,11.145515539466757
0.7692307692307693,0.8,0.7843137254901961,25.0,5.168331839921251
0.8846153846153846,0.92,0.9019607843137256,25.0,5.825427064669592
0.7777777777777778,0.84,0.8076923076923077,25.0,6.471995371650236
0.9565217391304348,0.88,0.9166666666666666,25.0,5.296511739120507
